[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.002150s ]
[ 2012-09-13T15:52:40+08:00 ] /admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.002358s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001763s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002050s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-09-13T15:56:19+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:56:19+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:56:19+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:56:19+08:00 ] /admin.php | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-13T15:56:19+08:00 ] /admin.php | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.005284s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | SQL: SELECT * FROM `yge_module` WHERE left_menu=1 and status=0 ORDER BY display_order DESC,id ASC  [ RunTime:0.002908s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | NOTIC: [8] Undefined variable: security IndexAction.class.php 第 23 行.
[ 2012-09-13T15:56:19+08:00 ] /admin.php | SQL: select version() [ RunTime:0.000381s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | SQL: SHOW COLUMNS FROM `yge_admin` [ RunTime:0.007747s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | SQL: SELECT * FROM `yge_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000617s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | SQL: SHOW COLUMNS FROM `yge_admin_log` [ RunTime:0.004747s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | SQL: INSERT INTO `yge_admin_log` (`user_id`,`username`,`action`,`ip`,`create_time`) VALUES (1,'lizhongyi','/admin.php','127.0.0.1',1347522979) [ RunTime:0.000743s ]
[ 2012-09-13T15:56:19+08:00 ] /admin.php | INFO: Tag[ view_template ] --START--
