[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.031165s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ view_end ] --START--
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Run ShowPageTrace Behavior [ RunTime:0.008374s ]
[ 2012-09-11T16:36:13+08:00 ] /admin.php?a=delete&m=Product&id=104 | INFO: Tag[ view_end ] --END-- [ RunTime:0.008511s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Tag[ route_check ] --START--
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Run CheckRoute Behavior [ RunTime:0.008070s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Tag[ route_check ] --END-- [ RunTime:0.008304s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Tag[ app_begin ] --START--
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008524s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008667s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [2048] Declaration of AdvModel::_before_insert() should be compatible with that of Model::_before_insert() AdvModel.class.php 第 18 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [2048] Declaration of AdvModel::_before_update() should be compatible with that of Model::_before_update() AdvModel.class.php 第 18 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [2048] Declaration of AdvModel::_after_select() should be compatible with that of Model::_after_select() AdvModel.class.php 第 18 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [2048] Declaration of AdvModel::_after_find() should be compatible with that of Model::_after_find() AdvModel.class.php 第 18 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | SQL: SHOW COLUMNS FROM `yge_module` [ RunTime:0.005964s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | SQL: SELECT * FROM `yge_module` WHERE left_menu=1 and status=0 ORDER BY display_order DESC,id ASC  [ RunTime:0.001551s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | SQL: SHOW COLUMNS FROM `yge_category` [ RunTime:0.003937s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | SQL: SELECT * FROM `yge_category` ORDER BY display_order DESC,id DESC  [ RunTime:0.000834s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | SQL: SHOW COLUMNS FROM `yge_product` [ RunTime:0.004421s ]
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  title ProductAction.class.php 第 55 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  orderBy ProductAction.class.php 第 56 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  orderType ProductAction.class.php 第 57 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  recommend ProductAction.class.php 第 58 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  categoryId ProductAction.class.php 第 59 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  status ProductAction.class.php 第 60 行.
[ 2012-09-11T16:36:15+08:00 ] /admin.php/Product | NOTIC: [8] Undefined index:  istop ProductAction.class.php 第 61 行.
